318,61186680,Banco BMG S.A.
626,61348538,BANCO C6 CONSIGNADO S.A.
270,61444949,Sagitur Corretora de Câmbio Ltda.
366,61533584,BANCO SOCIETE GENERALE BRASIL S.A.
113,61723847,MAGLIANO S.A. CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS
131,61747085,TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA
11,61809182,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A
611,61820817,Banco Paulista S.A.
755,62073200,Bank of America Merrill Lynch Banco Múltiplo S.A.
89,62109566,CREDISAN COOPERATIVA DE CRÉDITO
643,62144175,Banco Pine S.A.
140,62169875,NU INVEST CORRETORA DE VALORES S.A.
707,62232889,Banco Daycoval S.A.
288,62237649,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
363,62285390,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
101,62287735,RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
487,62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO
233,62421979,Banco Cifra S.A.
177,65913436,Guide Investimentos S.A. Corretora de Valores
438,67030395,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
365,68757681,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.
633,68900810,Banco Rendimento S.A.
218,71027866,Banco BS2 S.A.
293,71590442,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.
285,71677850,Frente Corretora de Câmbio Ltda.
80,73622748,B&T CORRETORA DE CAMBIO LTDA.
753,74828799,Novo Banco Continental S.A. - Banco Múltiplo
222,75647891,BANCO CRÉDIT AGRICOLE BRASIL S.A.
281,76461557,Cooperativa de Crédito Rural Coopavel
754,76543115,Banco Sistema S.A.
311,76641497,DOURADA CORRETORA DE CÂMBIO LTDA.
98,78157146,Credialiança Cooperativa de Crédito Rural
610,78626983,Banco VR S.A.
712,78632767,Banco Ourinvest S.A.
720,80271455,BANCO RNX S.A.
10,81723108,CREDICOAMO CREDITO RURAL COOPERATIVA
440,82096447,CREDIBRF - COOPERATIVA DE CRÉDITO
442,87963450,MAGNETIS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
283,89960090,RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA
33,90400888,BANCO SANTANDER (BRASIL) S.A.
217,91884981,Banco John Deere S.A.
41,92702067,Banco do Estado do Rio Grande do Sul S.A.
117,92856905,ADVANCED CORRETORA DE CÂMBIO LTDA
654,92874270,BANCO DIGIMAIS S.A.
371,92875780,WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.
212,92894922,Banco Original S.A.
289,94968518,DECYSEO CORRETORA DE CAMBIO LTDA.
